reaction_id,reaction_equation,dead_end_test,duplicate_test_exact,duplicate_test_directions,duplicate_test_coefficients,duplicate_test_redox
12DGR120tipp,12dgr120_p --> 12dgr120_c,ok,ok,ok,ok,N/A
12DGR140tipp,12dgr140_p --> 12dgr140_c,ok,ok,ok,ok,N/A
12DGR141tipp,12dgr141_p --> 12dgr141_c,ok,ok,ok,ok,N/A
12DGR160tipp,12dgr160_p --> 12dgr160_c,ok,ok,ok,ok,N/A
12DGR161tipp,12dgr161_p --> 12dgr161_c,ok,ok,ok,ok,N/A
12DGR180tipp,12dgr180_p --> 12dgr180_c,ok,ok,ok,ok,N/A
12DGR181tipp,12dgr181_p --> 12dgr181_c,ok,ok,ok,ok,N/A
12PPDRtex,12ppd__R_e <=> 12ppd__R_p,only when going forwards,ok,ok,ok,N/A
12PPDRtpp,12ppd__R_p <=> 12ppd__R_c,only when going forwards,ok,ok,ok,N/A
12PPDStex,12ppd__S_e <=> 12ppd__S_p,only when going forwards,ok,ok,ok,N/A
12PPDStpp,12ppd__S_p <=> 12ppd__S_c,only when going forwards,ok,ok,ok,N/A
13PPDH2,3hppnl_c + h_c + nadph_c <=> 13ppd_c + nadp_c,13ppd_c;3hppnl_c,ok,ok,ok,N/A
14GLUCANabcpp,14glucan_p + atp_c + h2o_c --> 14glucan_c + adp_c + h_c + pi_c,14glucan_c;14glucan_p,ok,ok,ok,N/A
14GLUCANtexi,14glucan_e --> 14glucan_p,14glucan_e;14glucan_p,ok,ok,ok,N/A
23CAMPtex,23camp_e <=> 23camp_p,23camp_e;23camp_p,ok,ok,ok,N/A
23CCMPtex,23ccmp_e <=> 23ccmp_p,23ccmp_e;23ccmp_p,ok,ok,ok,N/A
23CGMPtex,23cgmp_e <=> 23cgmp_p,23cgmp_e;23cgmp_p,ok,ok,ok,N/A
23CUMPtex,23cump_e <=> 23cump_p,23cump_e;23cump_p,ok,ok,ok,N/A
23DAPPAt2pp,23dappa_p + h_p --> 23dappa_c + h_c,23dappa_c;23dappa_p,ok,ok,ok,N/A
23DAPPAtex,23dappa_e <=> 23dappa_p,23dappa_e;23dappa_p,ok,ok,ok,N/A
23DOGULNt4pp,23doguln_p + na1_p --> 23doguln_c + na1_c,23doguln_c;23doguln_p,ok,ok,ok,N/A
23PDE2pp,23cump_p + h2o_p --> 3ump_p + h_p,23cump_p;3ump_p,ok,ok,ok,N/A
23PDE4pp,23ccmp_p + h2o_p --> 3cmp_p + h_p,23ccmp_p;3cmp_p,ok,ok,ok,N/A
23PDE7pp,23camp_p + h2o_p --> 3amp_p + h_p,23camp_p;3amp_p,ok,ok,ok,N/A
23PDE9pp,23cgmp_p + h2o_p --> 3gmp_p + h_p,23cgmp_p;3gmp_p,ok,ok,ok,N/A
26DAHtex,26dap__M_e <=> 26dap__M_p,26dap__M_e;26dap__M_p,ok,ok,ok,N/A
2AGPA120tipp,2ddecg3p_p --> 2ddecg3p_c,ok,ok,ok,ok,N/A
2AGPA140tipp,2tdecg3p_p --> 2tdecg3p_c,ok,ok,ok,ok,N/A
2AGPA141tipp,2tdec7eg3p_p --> 2tdec7eg3p_c,ok,ok,ok,ok,N/A
2AGPA160tipp,2hdecg3p_p --> 2hdecg3p_c,ok,ok,ok,ok,N/A
2AGPA161tipp,2hdec9eg3p_p --> 2hdec9eg3p_c,ok,ok,ok,ok,N/A
2AGPA180tipp,2odecg3p_p --> 2odecg3p_c,ok,ok,ok,ok,N/A
2AGPA181tipp,2odec11eg3p_p --> 2odec11eg3p_c,ok,ok,ok,ok,N/A
2AGPE120tipp,2agpe120_p --> 2agpe120_c,ok,ok,ok,ok,N/A
2AGPE140tipp,2agpe140_p --> 2agpe140_c,ok,ok,ok,ok,N/A
2AGPE141tipp,2agpe141_p --> 2agpe141_c,ok,ok,ok,ok,N/A
2AGPE160tipp,2agpe160_p --> 2agpe160_c,ok,ok,ok,ok,N/A
