Rxn name	Formula	Gene-reaction association	LB	UB	Objective
R_12DGR120tipp	1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)[p] => 1,2-Diacyl-sn-glycerol (didodecanoyl, n-C12:0)[c] 		  0.00	1000.00	  0.00
R_12DGR140tipp	1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)[p] => 1,2-Diacyl-sn-glycerol (ditetradecanoyl, n-C14:0)[c] 		  0.00	1000.00	  0.00
R_12DGR141tipp	1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)[p] => 1,2-Diacyl-sn-glycerol (ditetradec-7-enoyl, n-C14:1)[c] 		  0.00	1000.00	  0.00
R_12DGR160tipp	1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)[p] => 1,2-Diacyl-sn-glycerol (dihexadecanoyl, n-C16:0)[c] 		  0.00	1000.00	  0.00
R_12DGR161tipp	1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)[p] => 1,2-Diacyl-sn-glycerol (dihexadec-9-enoyl, n-C16:1)[c] 		  0.00	1000.00	  0.00
R_12DGR180tipp	1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)[p] => 1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)[c] 		  0.00	1000.00	  0.00
R_12DGR181tipp	1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)[p] => 1,2-Diacyl-sn-glycerol (dioctadec-11-enoyl, n-C18:1)[c] 		  0.00	1000.00	  0.00
R_12PPDRtex	(R)-Propane-1,2-diol[e] <=> (R)-Propane-1,2-diol[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_12PPDRtpp	(R)-Propane-1,2-diol[p] <=> (R)-Propane-1,2-diol[c] 		-1000.00	1000.00	  0.00
R_12PPDStex	(S)-Propane-1,2-diol[e] <=> (S)-Propane-1,2-diol[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_12PPDStpp	(S)-Propane-1,2-diol[p] <=> (S)-Propane-1,2-diol[c] 		-1000.00	1000.00	  0.00
R_13PPDH2	3-Hydroxypropanal[c] + H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> 1,3-Propanediol[c] + Nicotinamide adenine dinucleotide phosphate[c] 	G_b3011	-1000.00	1000.00	  0.00
R_14GLUCANabcpp	1,4-alpha-D-glucan[p] + ATP C10H12N5O13P3[c] + H2O H2O[c] => 1,4-alpha-D-glucan[c] + ADP C10H12N5O10P2[c] + H+[c] + Phosphate[c] 	G_b4032 and G_b4034 and G_b4035 and G_b4033	  0.00	1000.00	  0.00
R_14GLUCANtexi	1,4-alpha-D-glucan[e] => 1,4-alpha-D-glucan[p] 	G_b4036	  0.00	1000.00	  0.00
R_23CAMPtex	2',3'-Cyclic AMP[e] <=> 2',3'-Cyclic AMP[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_23CCMPtex	2',3'-Cyclic CMP[e] <=> 2',3'-Cyclic CMP[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_23CGMPtex	2',3'-Cyclic GMP[e] <=> 2',3'-Cyclic GMP[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_23CUMPtex	2',3'-Cyclic UMP[e] <=> 2',3'-Cyclic UMP[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_23DAPPAt2pp	2,3-diaminopropionate[p] + H+[p] => 2,3-diaminopropionate[c] + H+[c] 		  0.00	1000.00	  0.00
R_23DAPPAtex	2,3-diaminopropionate[e] <=> 2,3-diaminopropionate[p] 	G_b0241 or G_b0929 or G_b1377 or G_b2215	-1000.00	1000.00	  0.00
R_23DOGULNt4pp	2,3-Dioxo-L-gulonate[p] + Sodium[p] => 2,3-Dioxo-L-gulonate[c] + Sodium[c] 	G_b3577 and G_b3579 and G_b3578	  0.00	1000.00	  0.00
R_23PDE2pp	2',3'-Cyclic UMP[p] + H2O H2O[p] => 3  UMP C9H11N2O9P[p] + H+[p] 	G_b4213	  0.00	1000.00	  0.00
R_23PDE4pp	2',3'-Cyclic CMP[p] + H2O H2O[p] => 3  CMP C9H12N3O8P[p] + H+[p] 	G_b4213	  0.00	1000.00	  0.00
R_23PDE7pp	2',3'-Cyclic AMP[p] + H2O H2O[p] => 3  AMP C10H12N5O7P[p] + H+[p] 	G_b4213	  0.00	1000.00	  0.00
R_23PDE9pp	2',3'-Cyclic GMP[p] + H2O H2O[p] => Guanosine 3  phosphate C10H12N5O8P[p] + H+[p] 	G_b4213	  0.00	1000.00	  0.00
