model	objective	reaction	flux	status	minimum	maximum	fraction_optimum
./model.xml	obj	R_12DGR120tipp	0.0	optimal	0.0	1.7776891070298128e-12	1.0
./model.xml	obj	R_12DGR140tipp	0.0	optimal	0.0	1.7776891070298128e-12	1.0
./model.xml	obj	R_12DGR141tipp	0.0	optimal	0.0	1.7776891070298128e-12	1.0
./model.xml	obj	R_12DGR160tipp	0.0	optimal	0.0	1.7776891070298126e-12	1.0
./model.xml	obj	R_12DGR161tipp	0.0	optimal	0.0	1.7776891070298126e-12	1.0
./model.xml	obj	R_12DGR180tipp	0.0	optimal	0.0	1.7776891070298126e-12	1.0
./model.xml	obj	R_12DGR181tipp	0.0	optimal	0.0	1.7776891070298128e-12	1.0
./model.xml	obj	R_12PPDRtex	0.0	optimal	-7.321314717269762e-15	0.0	1.0
./model.xml	obj	R_12PPDRtpp	0.0	optimal	-7.321314717269762e-15	0.0	1.0
./model.xml	obj	R_12PPDStex	0.0	optimal	-7.209538920059544e-15	0.0	1.0
./model.xml	obj	R_12PPDStpp	0.0	optimal	-7.209538920059544e-15	0.0	1.0
./model.xml	obj	R_13PPDH2	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_14GLUCANabcpp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_14GLUCANtexi	0.0	optimal	-8.086041083285958e-16	0.0	1.0
./model.xml	obj	R_23CAMPtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23CCMPtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23CGMPtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23CUMPtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23DAPPAt2pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23DAPPAtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23DOGULNt4pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23PDE2pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23PDE4pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23PDE7pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_23PDE9pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_26DAHtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2AGPA120tipp	0.0	optimal	0.0	2.04245131445979e-12	1.0
./model.xml	obj	R_2AGPA140tipp	0.0	optimal	0.0	1.7776891070298142e-12	1.0
./model.xml	obj	R_2AGPA141tipp	0.0	optimal	0.0	5.516966194230436e-13	1.0
./model.xml	obj	R_2AGPA160tipp	0.0	optimal	0.0	-2.0900107041857806e-12	1.0
./model.xml	obj	R_2AGPA161tipp	0.0	optimal	0.0	-2.0910103855239707e-12	1.0
./model.xml	obj	R_2AGPA180tipp	0.0	optimal	0.0	-2.1915594464308587e-12	1.0
./model.xml	obj	R_2AGPA181tipp	0.0	optimal	0.0	-2.087039723800873e-12	1.0
./model.xml	obj	R_2AGPE120tipp	0.0	optimal	0.0	-3.649372467504784e-12	1.0
./model.xml	obj	R_2AGPE140tipp	0.0	optimal	0.0	-2.190903460453342e-12	1.0
./model.xml	obj	R_2AGPE141tipp	0.0	optimal	0.0	-2.4992105528716525e-12	1.0
./model.xml	obj	R_2AGPE160tipp	0.0	optimal	0.0	-2.733511542203372e-12	1.0
./model.xml	obj	R_2AGPE161tipp	0.0	optimal	0.0	-3.2397173833521512e-12	1.0
./model.xml	obj	R_2AGPE180tipp	0.0	optimal	0.0	-2.4992105528716594e-12	1.0
./model.xml	obj	R_2AGPE181tipp	0.0	optimal	0.0	-2.5017771561819794e-12	1.0
./model.xml	obj	R_2AGPEAT120	0.0	optimal	0.0	-2.191749779094674e-12	1.0
./model.xml	obj	R_2AGPEAT140	0.0	optimal	0.0	-2.1902477492139456e-12	1.0
./model.xml	obj	R_2AGPEAT141	0.0	optimal	0.0	-2.1911410220784765e-12	1.0
./model.xml	obj	R_2AGPEAT160	0.0	optimal	0.0	1.5784595852608163e-13	1.0
./model.xml	obj	R_2AGPEAT161	0.0	optimal	0.0	2.051692149507304e-13	1.0
./model.xml	obj	R_2AGPEAT180	0.0	optimal	0.0	2.0516921495072936e-13	1.0
./model.xml	obj	R_2AGPEAT181	0.0	optimal	0.0	8.206768598029175e-14	1.0
./model.xml	obj	R_2AGPG120tipp	0.0	optimal	0.0	9.37916411203333e-14	1.0
./model.xml	obj	R_2AGPG140tipp	0.0	optimal	0.0	9.118631775587991e-14	1.0
./model.xml	obj	R_2AGPG141tipp	0.0	optimal	0.0	1.131968082486788e-13	1.0
./model.xml	obj	R_2AGPG160tipp	0.0	optimal	0.0	9.655021880034333e-14	1.0
./model.xml	obj	R_2AGPG161tipp	0.0	optimal	0.0	1.1319680824867885e-13	1.0
./model.xml	obj	R_2AGPG180tipp	0.0	optimal	0.0	8.753886504564437e-14	1.0
./model.xml	obj	R_2AGPG181tipp	0.0	optimal	0.0	8.75388650456445e-14	1.0
./model.xml	obj	R_2AGPGAT120	0.0	optimal	0.0	8.75388650456444e-14	1.0
./model.xml	obj	R_2AGPGAT140	0.0	optimal	0.0	8.206768598029184e-14	1.0
./model.xml	obj	R_2AGPGAT141	0.0	optimal	0.0	8.206768598029163e-14	1.0
./model.xml	obj	R_2AGPGAT160	0.0	optimal	0.0	1.0100638274497441e-13	1.0
./model.xml	obj	R_2AGPGAT161	0.0	optimal	0.0	-3.643872042362631e-11	1.0
./model.xml	obj	R_2AGPGAT180	0.0	optimal	0.0	-2.0535912364555957e-11	1.0
./model.xml	obj	R_2AGPGAT181	0.0	optimal	0.0	-2.3530732917720508e-11	1.0
./model.xml	obj	R_2DDARAA	0.0	optimal	-6.60454264704756e-15	0.0	1.0
./model.xml	obj	R_2DGLCptspp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2DGLCtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2DGULRGx	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2DGULRGy	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2DGULRx	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2DGULRy	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2DOXG6PP	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2HESR	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2HPTCOAT	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_2MAHMP	0.0	optimal	0.0	-9.411116330682053e-11	1.0
./model.xml	obj	R_34dhpactex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3AMACHYD	0.0	optimal	0.0	-4.7651221927504165e-12	1.0
./model.xml	obj	R_3AMPtex	0.0	optimal	-2.785987016306198e-15	0.0	1.0
./model.xml	obj	R_3CMPtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3GMPtex	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3HAD100	0.0	optimal	0.0	-3.7644465322728e-11	1.0
./model.xml	obj	R_3HAD120	0.0	optimal	0.0	-7.528895840103161e-11	1.0
./model.xml	obj	R_3HAD121	0.0	optimal	0.0	-2.509631946701065e-11	1.0
./model.xml	obj	R_3HAD140	0.0	optimal	0.0	-3.7644479200515805e-11	1.0
./model.xml	obj	R_3HAD141	0.0	optimal	0.0	-2.509631946701065e-11	1.0
./model.xml	obj	R_3HAD160	0.0	optimal	0.0	-7.528895840103161e-11	1.0
./model.xml	obj	R_3HAD161	0.0	optimal	0.0	-7.528895840103191e-11	1.0
./model.xml	obj	R_3HAD180	0.0	optimal	0.0	-3.4615613057945604e-11	1.0
./model.xml	obj	R_3HAD181	0.0	optimal	0.0	-1.7014453875939365e-11	1.0
./model.xml	obj	R_3HAD40	0.0	optimal	0.0	-2.2143803131016658e-11	1.0
./model.xml	obj	R_3HAD60	0.0	optimal	0.0	-2.2143803131016658e-11	1.0
./model.xml	obj	R_3HAD80	0.0	optimal	0.0	-2.2143803131016658e-11	1.0
./model.xml	obj	R_3HBZCT	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3HCINNMH	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3HPADHi	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3HPPPNH	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3HPPtex	0.0	optimal	-5.977529104606328e-15	0.0	1.0
./model.xml	obj	R_3HPPtpp	0.0	optimal	0.0	-4.765122192750416e-12	1.0
./model.xml	obj	R_3KGK	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3NTD2pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3NTD4pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3NTD7pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3NTD9pp	0.0	optimal	0.0	0.0	1.0
./model.xml	obj	R_3OAR100	0.0	optimal	0.0	-3.7644465322728003e-11	1.0
./model.xml	obj	R_3OAR120	0.0	optimal	0.0	-7.528895840103161e-11	1.0
./model.xml	obj	R_3OAR121	0.0	optimal	0.0	-3.764447920051598e-11	1.0
./model.xml	obj	R_3OAR140	0.0682514312155643	optimal	0.06825143121556435	0.06825143117791982	1.0
./model.xml	obj	R_3OAR141	0.0	optimal	0.0	-2.509631946701065e-11	1.0
./model.xml	obj	R_3OAR160	0.0	optimal	0.0	-7.528895840103161e-11	1.0
./model.xml	obj	R_3OAR161	0.0	optimal	0.0	-7.528895840103195e-11	1.0
./model.xml	obj	R_3OAR180	0.0	optimal	0.0	-3.4615613057945604e-11	1.0
./model.xml	obj	R_3OAR181	0.0	optimal	0.0	-1.7014453875939365e-11	1.0
./model.xml	obj	R_3OAR40	0.0	optimal	0.0	-2.2143803131016654e-11	1.0
./model.xml	obj	R_3OAR60	0.0	optimal	0.0	-2.2143803131016654e-11	1.0
./model.xml	obj	R_3OAR80	0.0	optimal	0.0	-2.2143803131016654e-11	1.0
./model.xml	obj	R_3OAS100	0.0	optimal	0.0	-3.7644465322728003e-11	1.0
./model.xml	obj	R_3OAS120	0.0	optimal	0.0	-7.528895840103154e-11	1.0
