model	objective	gene	status	value
./model.xml	obj	G_b0002	optimal	0.8769972144269719
./model.xml	obj	G_b0003	optimal	0.0
./model.xml	obj	G_b0004	optimal	-5.277390296277174e-16
./model.xml	obj	G_b0007	optimal	0.8769972144269746
./model.xml	obj	G_b0008	optimal	0.8769972144269712
./model.xml	obj	G_b0009	optimal	0.8769972144269618
./model.xml	obj	G_b0010	optimal	0.8769972144269693
./model.xml	obj	G_b0019	optimal	0.8769972144269652
./model.xml	obj	G_b0025	optimal	0.0
./model.xml	obj	G_b0029	optimal	0.0
./model.xml	obj	G_b0030	optimal	0.8769972144269702
./model.xml	obj	G_b0031	optimal	6.321227895429223e-16
./model.xml	obj	G_b0032	optimal	0.876997214426966
./model.xml	obj	G_b0033	optimal	0.8769972144269712
./model.xml	obj	G_b0036	optimal	0.8769972144269649
./model.xml	obj	G_b0037	optimal	0.8769972144269715
./model.xml	obj	G_b0038	optimal	0.8769972144269725
./model.xml	obj	G_b0040	optimal	0.8769972144269677
./model.xml	obj	G_b0046	optimal	0.8769972144269694
./model.xml	obj	G_b0047	optimal	0.8769972144269667
./model.xml	obj	G_b0048	optimal	0.8769972144269675
./model.xml	obj	G_b0049	optimal	0.8769972144269712
./model.xml	obj	G_b0052	optimal	-6.181793993809071e-16
./model.xml	obj	G_b0054	optimal	0.0
./model.xml	obj	G_b0061	optimal	0.876997214426974
./model.xml	obj	G_b0062	optimal	0.876997214426966
./model.xml	obj	G_b0063	optimal	0.8769972144269594
./model.xml	obj	G_b0066	optimal	0.8769972144269629
./model.xml	obj	G_b0067	optimal	0.8769972144269758
./model.xml	obj	G_b0068	optimal	0.876997214426969
./model.xml	obj	G_b0070	optimal	0.876997214426967
./model.xml	obj	G_b0071	optimal	0.0
./model.xml	obj	G_b0072	optimal	0.0
./model.xml	obj	G_b0073	optimal	0.8769972144269724
./model.xml	obj	G_b0074	optimal	3.7464195023424387e-16
./model.xml	obj	G_b0077	optimal	0.8769972144269688
./model.xml	obj	G_b0078	optimal	0.8769972144269744
./model.xml	obj	G_b0084	optimal	-8.773273214868835e-18
./model.xml	obj	G_b0085	optimal	-2.7653236001020953e-17
./model.xml	obj	G_b0086	optimal	3.9829175220975e-17
./model.xml	obj	G_b0087	optimal	0.0
./model.xml	obj	G_b0088	optimal	0.0
./model.xml	obj	G_b0089	optimal	3.72384872764206e-17
./model.xml	obj	G_b0090	optimal	0.0
./model.xml	obj	G_b0091	optimal	3.608402698913233e-16
./model.xml	obj	G_b0092	optimal	0.8769972144269672
./model.xml	obj	G_b0096	optimal	0.0
./model.xml	obj	G_b0099	optimal	0.876997214426973
./model.xml	obj	G_b0103	optimal	-3.5213707407135834e-16
