model	objective	reaction	status	value
./model.xml	obj	R_12DGR120tipp	optimal	0.8769972144269685
./model.xml	obj	R_12DGR140tipp	optimal	0.8769972144269716
./model.xml	obj	R_12DGR141tipp	optimal	0.8769972144269628
./model.xml	obj	R_12DGR160tipp	optimal	0.8769972144269681
./model.xml	obj	R_12DGR161tipp	optimal	0.8769972144269665
./model.xml	obj	R_12DGR180tipp	optimal	0.8769972144269645
./model.xml	obj	R_12DGR181tipp	optimal	0.8769972144269733
./model.xml	obj	R_12PPDRtex	optimal	0.8769972144269599
./model.xml	obj	R_12PPDRtpp	optimal	0.8769972144269648
./model.xml	obj	R_12PPDStex	optimal	0.8769972144237536
./model.xml	obj	R_12PPDStpp	optimal	0.8769972144269704
./model.xml	obj	R_13PPDH2	optimal	0.8769972144269628
./model.xml	obj	R_14GLUCANabcpp	optimal	0.8769972144269668
./model.xml	obj	R_14GLUCANtexi	optimal	0.8769972144269671
./model.xml	obj	R_23CAMPtex	optimal	0.8769972144269745
./model.xml	obj	R_23CCMPtex	optimal	0.8769972144269738
./model.xml	obj	R_23CGMPtex	optimal	0.8769972144269712
./model.xml	obj	R_23CUMPtex	optimal	0.8769972144269721
./model.xml	obj	R_23DAPPAt2pp	optimal	0.8769972144269548
./model.xml	obj	R_23DAPPAtex	optimal	0.8769972144269681
./model.xml	obj	R_23DOGULNt4pp	optimal	0.8769972144269645
./model.xml	obj	R_23PDE2pp	optimal	0.8769972144269669
./model.xml	obj	R_23PDE4pp	optimal	0.8769972144269716
./model.xml	obj	R_23PDE7pp	optimal	0.8769972144269711
./model.xml	obj	R_23PDE9pp	optimal	0.8769972144269726
./model.xml	obj	R_26DAHtex	optimal	0.8769972144269658
./model.xml	obj	R_2AGPA120tipp	optimal	0.8769972144269675
./model.xml	obj	R_2AGPA140tipp	optimal	0.8769972144269673
./model.xml	obj	R_2AGPA141tipp	optimal	0.8769972144269638
./model.xml	obj	R_2AGPA160tipp	optimal	0.8769972144269661
./model.xml	obj	R_2AGPA161tipp	optimal	0.8769972144269625
./model.xml	obj	R_2AGPA180tipp	optimal	0.8769972144269738
./model.xml	obj	R_2AGPA181tipp	optimal	0.8769972144269733
./model.xml	obj	R_2AGPE120tipp	optimal	0.8769972144269674
./model.xml	obj	R_2AGPE140tipp	optimal	0.8769972144269682
./model.xml	obj	R_2AGPE141tipp	optimal	0.8769972144269695
./model.xml	obj	R_2AGPE160tipp	optimal	0.8769972144269671
./model.xml	obj	R_2AGPE161tipp	optimal	0.876997214426969
./model.xml	obj	R_2AGPE180tipp	optimal	0.8769972144269723
./model.xml	obj	R_2AGPE181tipp	optimal	0.8769972144269661
./model.xml	obj	R_2AGPEAT120	optimal	0.8769972144269745
./model.xml	obj	R_2AGPEAT140	optimal	0.8769972144269738
./model.xml	obj	R_2AGPEAT141	optimal	0.8769972144269721
./model.xml	obj	R_2AGPEAT160	optimal	0.8769972144269644
./model.xml	obj	R_2AGPEAT161	optimal	0.8769972144269599
./model.xml	obj	R_2AGPEAT180	optimal	0.8769972144269716
./model.xml	obj	R_2AGPEAT181	optimal	0.8769972144269672
./model.xml	obj	R_2AGPG120tipp	optimal	0.8769972144269647
./model.xml	obj	R_2AGPG140tipp	optimal	0.8769972144269692
./model.xml	obj	R_2AGPG141tipp	optimal	0.8769972144269682
./model.xml	obj	R_2AGPG160tipp	optimal	0.8769972144269675
./model.xml	obj	R_2AGPG161tipp	optimal	0.8769972144269718
./model.xml	obj	R_2AGPG180tipp	optimal	0.8769972144269738
./model.xml	obj	R_2AGPG181tipp	optimal	0.8769972144269716
./model.xml	obj	R_2AGPGAT120	optimal	0.876997214426971
./model.xml	obj	R_2AGPGAT140	optimal	0.8769972144269712
./model.xml	obj	R_2AGPGAT141	optimal	0.8769972144269632
