#	ID	NAME	UNCONSTRAINED	MIRIAM	COMPOSITION	InChI	COMPARTMENT	REPLACEMENT ID	METS FIELD	CHARGE
	Octanoate (protein bound)[c]	Octanoate (protein bound)		bigg.metabolite/octapb;metanetx.chemical/MNXM147531	C8H15O		c	m1	M_octapb_c	1	
	L Cystine C6H12N2O4S2[e]	L Cystine C6H12N2O4S2		bigg.metabolite/cysi__L;biocyc/META:CYSTINE;chebi/CHEBI:6209;chebi/CHEBI:35491;chebi/CHEBI:63163;chebi/CHEBI:13097;chebi/CHEBI:16283;chebi/CHEBI:21278;hmdb/HMDB00192;kegg.compound/C00491;kegg.drug/D03636;metanetx.chemical/MNXM927;sabiork/2060;seed.compound/cpd00381	C6H12N2O4S2		e	m2	M_cysi__L_e	0	
	Dihydroxyacetone phosphate[c]	Dihydroxyacetone phosphate		bigg.metabolite/dhap;biocyc/META:DIHYDROXY-ACETONE-PHOSPHATE;chebi/CHEBI:14341;chebi/CHEBI:5454;chebi/CHEBI:16108;chebi/CHEBI:14342;chebi/CHEBI:24355;chebi/CHEBI:39571;chebi/CHEBI:57642;hmdb/HMDB11735;hmdb/HMDB01473;kegg.compound/C00111;metanetx.chemical/MNXM77;reactome.compound/390404;reactome.compound/75970;reactome.compound/188451;sabiork/28;seed.compound/cpd00095	C3H5O6P		c	m3	M_dhap_c	-2	
	1-(5-Phosphoribosyl)-ATP[c]	1-(5-Phosphoribosyl)-ATP		bigg.metabolite/prbatp;biocyc/META:PHOSPHORIBOSYL-ATP;chebi/CHEBI:73200;chebi/CHEBI:58424;chebi/CHEBI:11196;chebi/CHEBI:18263;chebi/CHEBI:73183;chebi/CHEBI:8167;chebi/CHEBI:18970;chebi/CHEBI:59460;chebi/CHEBI:11192;hmdb/HMDB03665;kegg.compound/C02739;metanetx.chemical/MNXM1351;seed.compound/cpd01775	C15H19N5O20P4		c	m4	M_prbatp_c	-6	
	10-Formyltetrahydrofolate[c]	10-Formyltetrahydrofolate		bigg.metabolite/10fthf;biocyc/META:10-FORMYL-THF;chebi/CHEBI:19108;chebi/CHEBI:15637;chebi/CHEBI:698;chebi/CHEBI:19109;chebi/CHEBI:11304;chebi/CHEBI:57454;hmdb/HMDB00972;kegg.compound/C00234;metanetx.chemical/MNXM237;reactome.compound/5389850;reactome.compound/419151;sabiork/1318;seed.compound/cpd00201	C20H21N7O7		c	m5	M_10fthf_c	-2	
	Butanal C4H8O[c]	Butanal C4H8O		bigg.metabolite/btal;biocyc/META:BUTANAL;chebi/CHEBI:22938;chebi/CHEBI:3233;chebi/CHEBI:15743;chebi/CHEBI:13923;envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound/242f8a4e-2a91-4c5f-a129-d044d115b969;hmdb/HMDB03543;kegg.compound/C01412;metanetx.chemical/MNXM1017;sabiork/2281;seed.compound/cpd01011	C4H8O		c	m6	M_btal_c	0	
	6-Phospho-beta-D-glucosyl-(1,4)-D-glucose[c]	6-Phospho-beta-D-glucosyl-(1,4)-D-glucose		bigg.metabolite/6pgg;metanetx.chemical/MNXM147389	C12H21O14P		c	m7	M_6pgg_c	-2	
	CO2 CO2[e]	CO2 CO2		bigg.metabolite/co2;biocyc/META:CARBON-DIOXIDE;chebi/CHEBI:23011;chebi/CHEBI:3283;chebi/CHEBI:48829;chebi/CHEBI:16526;chebi/CHEBI:13283;chebi/CHEBI:13285;chebi/CHEBI:13284;chebi/CHEBI:13282;envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound/2ec3da94-5f50-4525-81b1-5607c5c7a3d3;envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/05f60af4-0a3f-4ead-9a29-33bb0f123379;hmdb/HMDB01967;kegg.compound/C00011;kegg.drug/D00004;metanetx.chemical/MNXM13;reactome.compound/29376;reactome.compound/5668565;reactome.compound/189480;reactome.compound/1132345;reactome.compound/113528;reactome.compound/1237009;reactome.compound/159751;reactome.compound/389536;reactome.compound/159942;sabiork/1266;seed.compound/cpd00011	CO2		e	m8	M_co2_e	0	
	2-Oxoglutarate[e]	2-Oxoglutarate		bigg.metabolite/akg;biocyc/META:2-KETOGLUTARATE;chebi/CHEBI:40661;chebi/CHEBI:16810;chebi/CHEBI:11638;chebi/CHEBI:30916;chebi/CHEBI:19749;chebi/CHEBI:1253;chebi/CHEBI:30915;chebi/CHEBI:19748;envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/5b0a94f6-d411-44fd-bcc1-fb79b4e697f5;envipath/4fd7f3e0-dd25-43ac-9453-dda3e52396e4/compound/6557f3f2-0ab8-494b-a865-8ce0eae788a9;hmdb/HMDB00208;hmdb/HMDB02812;hmdb/HMDB62781;kegg.compound/C00026;metanetx.chemical/MNXM20;reactome.compound/113594;reactome.compound/561075;reactome.compound/5278317;reactome.compound/113671;reactome.compound/29406;reactome.compound/389537;sabiork/1922;seed.compound/cpd00024	C5H4O5		e	m9	M_akg_e	-2	
	Guanosine[e]	Guanosine		bigg.metabolite/gsn;biocyc/META:GUANOSINE;chebi/CHEBI:14375;chebi/CHEBI:16750;chebi/CHEBI:42853;chebi/CHEBI:24444;chebi/CHEBI:42847;chebi/CHEBI:471737;chebi/CHEBI:42840;chebi/CHEBI:5564;hmdb/HMDB00133;kegg.compound/C00387;metanetx.chemical/MNXM401;sabiork/1872;seed.compound/cpd00311	C10H13N5O5		e	m10	M_gsn_e	0	
	Pyridoxal 5'-phosphate[c]	Pyridoxal 5'-phosphate		bigg.metabolite/pydx5p;biocyc/META:PYRIDOXAL_PHOSPHATE;chebi/CHEBI:8668;chebi/CHEBI:597326;chebi/CHEBI:45145;chebi/CHEBI:18405;chebi/CHEBI:14977;chebi/CHEBI:26424;chebi/CHEBI:234571;chebi/CHEBI:358848;hmdb/HMDB01491;kegg.compound/C00018;metanetx.chemical/MNXM161;reactome.compound/29390;sabiork/1271;seed.compound/cpd00016	C8H8NO6P		c	m11	M_pydx5p_c	-2	
	3-keto-L-gulonate-6-phosphate[c]	3-keto-L-gulonate-6-phosphate		bigg.metabolite/3dhgulnp;biocyc/META:CPD-2343;chebi/CHEBI:58774;chebi/CHEBI:49039;kegg.compound/C14899;metanetx.chemical/MNXM1170;sabiork/22145;seed.compound/cpd10596	C6H8O10P		c	m12	M_3dhgulnp_c	-3	
	Glycerophosphoserine[c]	Glycerophosphoserine		bigg.metabolite/g3ps;biocyc/META:CPD0-2030;chebi/CHEBI:64765;chebi/CHEBI:64945;chebi/CHEBI:61931;chebi/CHEBI:62013;metanetx.chemical/MNXM97117;sabiork/27671;seed.compound/cpd15468;slm/000001192	C6H13NO8P		c	m13	M_g3ps_c	-1	
	ADP-L-glycero-D-manno-heptose[c]	ADP-L-glycero-D-manno-heptose		bigg.metabolite/adphep_LD;biocyc/META:ADP-L-GLYCERO-D-MANNO-HEPTOSE;chebi/CHEBI:57564;chebi/CHEBI:15915;chebi/CHEBI:61506;chebi/CHEBI:20844;chebi/CHEBI:2347;chebi/CHEBI:61530;chebi/CHEBI:13226;kegg.compound/C06398;metanetx.chemical/MNXM857;sabiork/1589;seed.compound/cpd03831	C17H25N5O16P2		c	m14	M_adphep_LD_c	-2	
	L-Lyxose[c]	L-Lyxose		bigg.metabolite/lyx__L;biocyc/META:CPD-15867;chebi/CHEBI:62321;kegg.compound/C01508;metanetx.chemical/MNXM4641;seed.compound/cpd01067	C5H10O5		c	m15	M_lyx__L_c	0	
	Deoxyinosine[p]	Deoxyinosine		bigg.metabolite/din;biocyc/META:DEOXYINOSINE;chebi/CHEBI:43437;chebi/CHEBI:28997;chebi/CHEBI:43436;chebi/CHEBI:39841;chebi/CHEBI:43293;chebi/CHEBI:23629;chebi/CHEBI:4413;chebi/CHEBI:19248;hmdb/HMDB00071;kegg.compound/C05512;metanetx.chemical/MNXM935;sabiork/1896;seed.compound/cpd03279	C10H12N4O4		p	m16	M_din_p	0	
	D-Glycerate 2-phosphate[c]	D-Glycerate 2-phosphate		bigg.metabolite/2pg;biocyc/META:2-PG;chebi/CHEBI:39868;chebi/CHEBI:21028;chebi/CHEBI:58289;chebi/CHEBI:24344;chebi/CHEBI:12986;chebi/CHEBI:17835;chebi/CHEBI:11651;chebi/CHEBI:1267;chebi/CHEBI:88350;hmdb/HMDB00362;hmdb/HMDB62707;hmdb/HMDB03391;kegg.compound/C00631;metanetx.chemical/MNXM275;reactome.compound/30485;sabiork/31;seed.compound/cpd00482	C3H4O7P		c	m17	M_2pg_c	-3	
	Putrescine[p]	Putrescine		bigg.metabolite/ptrc;biocyc/META:PUTRESCINE;chebi/CHEBI:8650;chebi/CHEBI:17148;chebi/CHEBI:45092;chebi/CHEBI:26405;chebi/CHEBI:14972;chebi/CHEBI:326268;hmdb/HMDB01414;hmdb/HMDB60243;kegg.compound/C00134;metanetx.chemical/MNXM118;reactome.compound/29610;reactome.compound/141350;sabiork/1941;seed.compound/cpd00118;seed.compound/cpd12215	C4H14N2		p	m18	M_ptrc_p	2	
	Maltose C12H22O11[p]	Maltose C12H22O11		bigg.metabolite/malt;biocyc/META:MALTOSE;biocyc/META:ALPHA-MALTOSE;chebi/CHEBI:6668;chebi/CHEBI:12340;chebi/CHEBI:43893;chebi/CHEBI:22463;chebi/CHEBI:10300;chebi/CHEBI:14568;chebi/CHEBI:18167;chebi/CHEBI:17306;chebi/CHEBI:25144;envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/943ae27f-7875-4bcd-948d-1551ec9aa1ca;kegg.compound/C00897;kegg.compound/C00208;kegg.drug/D00044;kegg.glycan/G00275;metanetx.chemical/MNXM165;reactome.compound/188986;reactome.compound/868706;sabiork/5881;sabiork/88;sabiork/1669;seed.compound/cpd00665;seed.compound/cpd00179	C12H22O11		p	m19	M_malt_p	0	
	Phenylpropanoate[p]	Phenylpropanoate		bigg.metabolite/pppn;biocyc/META:3-PHENYLPROPIONATE;chebi/CHEBI:20187;chebi/CHEBI:20186;chebi/CHEBI:51057;chebi/CHEBI:8103;chebi/CHEBI:26005;chebi/CHEBI:28631;chebi/CHEBI:26002;chebi/CHEBI:43112;envipath/32de3cf4-e3e6-4168-956e-32fa5ddb0ce1/compound/30aa6284-bd6a-41ed-b40d-bdbb4fb60d5f;envipath/650babc9-9d68-4b73-9332-11972ca26f7b/compound/515e549e-edf3-4c3e-b898-1f1754d887f6;hmdb/HMDB00764;kegg.compound/C05629;metanetx.chemical/MNXM1403;sabiork/20964;seed.compound/cpd03343	C9H9O2		p	m20	M_pppn_p	-1	
	Aerobactin minus Fe3[p]	Aerobactin minus Fe3		bigg.metabolite/arbtn;metanetx.chemical/MNXM96506;seed.compound/cpd15411	C22H33N4O13		p	m21	M_arbtn_p	-3	
	Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA[c]	Heptosyl-phospho-heptosyl-heptosyl-kdo2-lipidA		bigg.metabolite/hphhlipa;biocyc/META:CPD0-2238;metanetx.chemical/MNXM56168;seed.compound/cpd15488	C131H231N2O60P3		c	m22	M_hphhlipa_c	-8	
