#	ID	NAME	EQUATION	EC-NUMBER	GENE ASSOCIATION	LOWER BOUND	UPPER BOUND	OBJECTIVE	COMPARTMENT	MIRIAM	SUBSYSTEM	REPLACEMENT ID	NOTE	REFERENCE	CONFIDENCE SCORE
	R_CYTDK2	Cytidine kinase (GTP)	Cytidine[c] + GTP C10H12N5O14P3[c] => H+[c] + GDP C10H12N5O11P2[c] + CMP C9H12N3O8P[c]	2.7.1.48;2.7.1.213	G_b2066	0	1000			bigg.reaction/CYTDK2;biocyc/META:CYTIDINEKIN-RXN;kegg.reaction/R00517;metanetx.reaction/MNXR97042;rhea/28165;rhea/28164;rhea/28162;rhea/28163;seed.reaction/rxn00369;sbo/SBO:0000176					
	R_XPPT	Xanthine phosphoribosyltransferase	Xanthine[c] + 5-Phospho-alpha-D-ribose 1-diphosphate[c] => Diphosphate[c] + Xanthosine 5'-phosphate[c]	2.4.2.8;2.4.2.22	G_b0238	0	1000			bigg.reaction/XPPT;biocyc/META:XANPRIBOSYLTRAN-RXN;kegg.reaction/R02142;metanetx.reaction/MNXR105243;rhea/10800;rhea/10803;rhea/10802;rhea/10801;sabiork/194;seed.reaction/rxn01544;sbo/SBO:0000176					
	R_HXPRT	Hypoxanthine phosphoribosyltransferase (Hypoxanthine)	5-Phospho-alpha-D-ribose 1-diphosphate[c] + Hypoxanthine[c] => IMP C10H11N4O8P[c] + Diphosphate[c]	2.4.2.8	G_b0238 or G_b0125	0	1000			bigg.reaction/HXPRT;biocyc/META:HYPOXANPRIBOSYLTRAN-RXN;kegg.reaction/R01132;metanetx.reaction/MNXR100752;rhea/17976;rhea/17974;rhea/17973;rhea/17975;sabiork/81;seed.reaction/rxn00836;sbo/SBO:0000176					
	R_NDPK5	Nucleoside-diphosphate kinase (ATP:dGDP)	DGDP C10H12N5O10P2[c] + ATP C10H12N5O13P3[c] <=> ADP C10H12N5O10P2[c] + DGTP C10H12N5O13P3[c]	2.7.4.6	G_b0474 or G_b2518	-1000	1000			bigg.reaction/NDPK5;biocyc/META:DGDPKIN-RXN;kegg.reaction/R01857;metanetx.reaction/MNXR96118;rhea/27692;rhea/27690;rhea/27691;rhea/27693;sabiork/183;seed.reaction/rxn01353;sbo/SBO:0000176					
	R_SHK3Dr	Shikimate dehydrogenase	H+[c] + 3-Dehydroshikimate[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] <=> Shikimate[c] + Nicotinamide adenine dinucleotide phosphate[c]	1.1.1.25;1.1.1.282	G_b3281 or G_b1692	-1000	1000			bigg.reaction/SHK3Dr;biocyc/META:SHIKIMATE-5-DEHYDROGENASE-RXN;kegg.reaction/R02413;metanetx.reaction/MNXR104378;reactome.reaction/R-MTU-964842;rhea/17739;rhea/17738;rhea/17737;rhea/17740;sabiork/2351;seed.reaction/rxn01740;sbo/SBO:0000176					
	R_NDPK6	Nucleoside-diphosphate kinase (ATP:dUDP)	DUDP C9H11N2O11P2[c] + ATP C10H12N5O13P3[c] <=> DUTP C9H11N2O14P3[c] + ADP C10H12N5O10P2[c]	2.7.4.6	G_b0474 or G_b2518	-1000	1000			bigg.reaction/NDPK6;biocyc/META:DUDPKIN-RXN;kegg.reaction/R02331;metanetx.reaction/MNXR101938;rhea/28584;rhea/28583;rhea/28582;rhea/28585;sabiork/421;seed.reaction/rxn01678;sbo/SBO:0000176					
	R_NDPK8	Nucleoside-diphosphate kinase (ATP:dADP)	DADP C10H12N5O9P2[c] + ATP C10H12N5O13P3[c] <=> ADP C10H12N5O10P2[c] + DATP C10H12N5O12P3[c]	2.7.4.6	G_b0474 or G_b2518	-1000	1000			bigg.reaction/NDPK8;biocyc/META:DADPKIN-RXN;kegg.reaction/R01137;metanetx.reaction/MNXR101940;rhea/27675;rhea/27674;rhea/27677;rhea/27676;seed.reaction/rxn00839;sbo/SBO:0000176					
	R_DHORTS	Dihydroorotase	(S)-Dihydroorotate[c] + H2O H2O[c] <=> H+[c] + N-Carbamoyl-L-aspartate[c]	3.5.2.3	G_b1062	-1000	1000			bigg.reaction/DHORTS;biocyc/META:DIHYDROOROT-RXN;kegg.reaction/R01993;metanetx.reaction/MNXR97428;reactome.reaction/R-CFA-73571;reactome.reaction/R-BTA-73571;reactome.reaction/R-SCE-73571;reactome.reaction/R-MMU-73571;reactome.reaction/R-GGA-73571;reactome.reaction/R-CEL-73571;reactome.reaction/R-OSA-73571;reactome.reaction/R-SPO-73571;reactome.reaction/R-TGU-73571;reactome.reaction/R-SSC-73571;reactome.reaction/R-RNO-73571;reactome.reaction/R-GGA-419465;reactome.reaction/R-HSA-73571;reactome.reaction/R-DDI-73571;reactome.reaction/R-DRE-73571;reactome.reaction/R-XTR-73571;reactome.reaction/R-DME-73571;reactome.reaction/R-ATH-73571;reactome.reaction/R-PFA-73571;rhea/24296;rhea/24298;rhea/24299;rhea/24297;sabiork/399;seed.reaction/rxn01465;sbo/SBO:0000176					
	R_OMPDC	Orotidine-5'-phosphate decarboxylase	H+[c] + Orotidine 5'-phosphate[c] => UMP C9H11N2O9P[c] + CO2 CO2[c]	4.1.1.23	G_b1281	0	1000			bigg.reaction/OMPDC;biocyc/META:OROTPDECARB-RXN;kegg.reaction/R00965;metanetx.reaction/MNXR102190;reactome.reaction/R-TGU-73564;reactome.reaction/R-GGA-419461;reactome.reaction/R-SSC-73564;reactome.reaction/R-HSA-73564;reactome.reaction/R-SPO-73564;reactome.reaction/R-DRE-73564;reactome.reaction/R-DDI-73564;reactome.reaction/R-GGA-73564;reactome.reaction/R-CFA-73564;reactome.reaction/R-PFA-73564;reactome.reaction/R-ATH-73564;reactome.reaction/R-OSA-73564;reactome.reaction/R-BTA-73564;reactome.reaction/R-RNO-73564;reactome.reaction/R-MMU-73564;reactome.reaction/R-SCE-73564;reactome.reaction/R-CEL-73564;reactome.reaction/R-DME-73564;reactome.reaction/R-XTR-73564;rhea/11597;rhea/11599;rhea/11596;rhea/11598;sabiork/463;seed.reaction/rxn00710;sbo/SBO:0000176					
	R_PYNP2r	Pyrimidine-nucleoside phosphorylase (uracil)	Phosphate[c] + Uridine[c] <=> Alpha-D-Ribose 1-phosphate[c] + Uracil[c]	2.4.2.3;2.4.2.2	G_b3831	-1000	1000			bigg.reaction/PYNP2r;biocyc/META:URPHOS-RXN;kegg.reaction/R01876;metanetx.reaction/MNXR103377;rhea/24391;rhea/24388;rhea/24390;rhea/24389;sabiork/204;seed.reaction/rxn01366;sbo/SBO:0000176					
	R_G5SD	Glutamate-5-semialdehyde dehydrogenase	H+[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + L-Glutamate 5-phosphate[c] => Phosphate[c] + Nicotinamide adenine dinucleotide phosphate[c] + L-Glutamate 5-semialdehyde[c]	1.2.1.41	G_b0243	0	1000			bigg.reaction/G5SD;biocyc/META:GLUTSEMIALDEHYDROG-RXN;kegg.reaction/R03313;metanetx.reaction/MNXR99896;rhea/19541;rhea/19543;rhea/19544;rhea/19542;sabiork/3127;seed.reaction/rxn02373;sbo/SBO:0000176					
	R_CS	Citrate synthase	Acetyl-CoA[c] + H2O H2O[c] + Oxaloacetate[c] => H+[c] + Citrate[c] + Coenzyme A[c]	2.3.3.16;2.3.3.1;2.3.3.3	G_b0720	0	1000			bigg.reaction/CS;biocyc/META:CITSYN-RXN;biocyc/META:RXN-14905;kegg.reaction/R00351;metanetx.reaction/MNXR96920;reactome.reaction/R-GGA-373006;reactome.reaction/R-GGA-70975;reactome.reaction/R-CEL-70975;reactome.reaction/R-HSA-70975;reactome.reaction/R-DRE-70975;reactome.reaction/R-MMU-70975;reactome.reaction/R-ATH-70975;reactome.reaction/R-SPO-70975;reactome.reaction/R-OSA-70975;reactome.reaction/R-SCE-70975;reactome.reaction/R-SSC-70975;reactome.reaction/R-DDI-70975;reactome.reaction/R-RNO-70975;reactome.reaction/R-DME-70975;reactome.reaction/R-PFA-70975;reactome.reaction/R-XTR-70975;reactome.reaction/R-CFA-70975;reactome.reaction/R-BTA-70975;rhea/16847;rhea/16846;rhea/16845;rhea/16848;sabiork/267;seed.reaction/rxn00256;sbo/SBO:0000176					
	R_ICDHyr	Isocitrate dehydrogenase (NADP)	Nicotinamide adenine dinucleotide phosphate[c] + Isocitrate[c] <=> 2-Oxoglutarate[c] + Nicotinamide adenine dinucleotide phosphate - reduced[c] + CO2 CO2[c]	1.1.1.42	G_b1136	-1000	1000			bigg.reaction/ICDHyr;kegg.reaction/R00267;metanetx.reaction/MNXR100781;rhea/19629;rhea/19630;rhea/19631;rhea/19632;sabiork/269;seed.reaction/rxn00198;sbo/SBO:0000176					
	R_ALATA_L2	Alanine transaminase	Pyridoxal 5'-phosphate[c] + L-Alanine[c] => Pyridoxamine 5'-phosphate[c] + Pyruvate[c]		G_b0870 or G_b2551	0	1000			bigg.reaction/ALATA_L2;metanetx.reaction/MNXR95699;rhea/30025;rhea/30026;rhea/30024;rhea/30023;sabiork/10879;seed.reaction/rxn08103;sbo/SBO:0000176					
	R_DURIPP	Deoxyuridine phosphorylase	Deoxyuridine[c] + Phosphate[c] <=> 2-Deoxy-D-ribose 1-phosphate[c] + Uracil[c]	2.4.2.3;2.4.2.1;2.4.2.4;2.4.2.2	G_b4382 or G_b4384	-1000	1000			bigg.reaction/DURIPP;biocyc/META:URA-PHOSPH-RXN;kegg.reaction/R02484;metanetx.reaction/MNXR97818;rhea/22825;rhea/22824;rhea/22827;rhea/22826;sabiork/511;seed.reaction/rxn01799;sbo/SBO:0000176					
